round,date,winner,loser,winner_score,loser_score,source
First Four,2026-03-17,Howard,UMBC,86,83,https://www.ncaa.com/news/basketball-men/mml-official-bracket/2026-04-06/michigan-wins-2026-di-mens-basketball-championship
First Four,2026-03-17,Texas,NC State,68,66,https://www.ncaa.com/news/basketball-men/mml-official-bracket/2026-04-06/michigan-wins-2026-di-mens-basketball-championship
First Four,2026-03-18,Prairie View A&M,Lehigh,67,55,https://www.ncaa.com/news/basketball-men/mml-official-bracket/2026-04-06/michigan-wins-2026-di-mens-basketball-championship
First Four,2026-03-18,Miami OH,SMU,89,79,https://www.ncaa.com/news/basketball-men/mml-official-bracket/2026-04-06/michigan-wins-2026-di-mens-basketball-championship
First Round,2026-03-19,TCU,Ohio State,66,64,https://www.ncaa.com/news/basketball-men/article/2026-04-06/2026-march-madness-mens-ncaa-tournament-schedule-dates
First Round,2026-03-19,Nebraska,Troy,76,47,https://www.ncaa.com/news/basketball-men/article/2026-04-06/2026-march-madness-mens-ncaa-tournament-schedule-dates
First Round,2026-03-19,Louisville,South Florida,83,79,https://www.ncaa.com/news/basketball-men/article/2026-04-06/2026-march-madness-mens-ncaa-tournament-schedule-dates
First Round,2026-03-19,High Point,Wisconsin,83,82,https://www.ncaa.com/news/basketball-men/article/2026-04-06/2026-march-madness-mens-ncaa-tournament-schedule-dates
First Round,2026-03-19,Duke,Siena,71,65,https://www.ncaa.com/news/basketball-men/article/2026-04-06/2026-march-madness-mens-ncaa-tournament-schedule-dates
First Round,2026-03-19,Vanderbilt,McNeese,78,68,https://www.ncaa.com/news/basketball-men/article/2026-04-06/2026-march-madness-mens-ncaa-tournament-schedule-dates
First Round,2026-03-19,Michigan State,North Dakota State,92,67,https://www.ncaa.com/news/basketball-men/article/2026-04-06/2026-march-madness-mens-ncaa-tournament-schedule-dates
First Round,2026-03-19,Arkansas,Hawaii,97,78,https://www.ncaa.com/news/basketball-men/article/2026-04-06/2026-march-madness-mens-ncaa-tournament-schedule-dates
First Round,2026-03-19,VCU,North Carolina,82,78,https://www.ncaa.com/news/basketball-men/article/2026-04-06/2026-march-madness-mens-ncaa-tournament-schedule-dates
First Round,2026-03-19,Michigan,Howard,101,80,https://www.ncaa.com/news/basketball-men/article/2026-04-06/2026-march-madness-mens-ncaa-tournament-schedule-dates
First Round,2026-03-19,Texas,BYU,79,71,https://www.ncaa.com/news/basketball-men/article/2026-04-06/2026-march-madness-mens-ncaa-tournament-schedule-dates
First Round,2026-03-19,Texas A&M,Saint Mary's,63,50,https://www.ncaa.com/news/basketball-men/article/2026-04-06/2026-march-madness-mens-ncaa-tournament-schedule-dates
First Round,2026-03-19,Illinois,Penn,105,70,https://www.ncaa.com/news/basketball-men/article/2026-04-06/2026-march-madness-mens-ncaa-tournament-schedule-dates
First Round,2026-03-19,Saint Louis,Georgia,102,77,https://www.ncaa.com/news/basketball-men/article/2026-04-06/2026-march-madness-mens-ncaa-tournament-schedule-dates
First Round,2026-03-19,Gonzaga,Kennesaw State,73,64,https://www.ncaa.com/news/basketball-men/article/2026-04-06/2026-march-madness-mens-ncaa-tournament-schedule-dates
First Round,2026-03-19,Houston,Idaho,78,47,https://www.ncaa.com/news/basketball-men/article/2026-04-06/2026-march-madness-mens-ncaa-tournament-schedule-dates
First Round,2026-03-20,Kentucky,Santa Clara,89,84,https://www.ncaa.com/news/basketball-men/mml-official-bracket/2026-04-05/2026-ncaa-tournament-bracket-schedule-scores-march-madness
First Round,2026-03-20,Texas Tech,Akron,91,71,https://www.ncaa.com/news/basketball-men/mml-official-bracket/2026-04-05/2026-ncaa-tournament-bracket-schedule-scores-march-madness
First Round,2026-03-20,Arizona,LIU,92,58,https://www.ncaa.com/news/basketball-men/mml-official-bracket/2026-04-05/2026-ncaa-tournament-bracket-schedule-scores-march-madness
First Round,2026-03-20,Virginia,Wright State,82,73,https://www.ncaa.com/news/basketball-men/mml-official-bracket/2026-04-05/2026-ncaa-tournament-bracket-schedule-scores-march-madness
First Round,2026-03-20,Iowa State,Tennessee State,108,74,https://www.ncaa.com/news/basketball-men/mml-official-bracket/2026-04-05/2026-ncaa-tournament-bracket-schedule-scores-march-madness
