model,factor_group,feature_count,importance_mean,importance_std,positive_fraction
decision_tree,engineered_composites,15,0.035578895506362104,0.009910345820334612,1.0
decision_tree,free_throw_rate,7,0.012481847976585777,0.00687763387956892,0.9333333333333333
decision_tree,efg,7,0.010475162143608918,0.009055056114224849,0.8666666666666667
decision_tree,block,7,0.005919861799300833,0.003898940758769942,0.9666666666666667
decision_tree,offensive_rebound,7,0.002312984627619023,0.0009743221647774793,0.9666666666666667
decision_tree,steal,7,0.0011820685116852674,0.004613550231572701,0.5333333333333333
decision_tree,three_point,7,0.0008148858567368948,0.00046702126935857096,0.9333333333333333
decision_tree,free_throw_pct,7,0.00027927907006423486,0.0010542385271489897,0.5333333333333333
decision_tree,turnover,7,0.0,0.0,0.0
decision_tree,two_point,7,0.0,0.0,0.0
decision_tree,assist,7,0.0,0.0,0.0
decision_tree,three_point_rate,4,0.0,0.0,0.0
decision_tree,nonsteal_turnover,7,-0.000628245526825418,0.0006583901268668427,0.13333333333333333
hist_gradient_boosting,engineered_composites,15,0.02872698375343415,0.006743219216252725,1.0
hist_gradient_boosting,offensive_rebound,7,0.01256926704363716,0.0039593588249754235,1.0
hist_gradient_boosting,efg,7,0.008949613803026325,0.004506730133490406,0.9666666666666667
hist_gradient_boosting,nonsteal_turnover,7,0.007889325195785975,0.0030904963464947455,1.0
hist_gradient_boosting,steal,7,0.007562884442578495,0.00290539571430359,1.0
hist_gradient_boosting,block,7,0.00631705398658415,0.0019098479581114555,1.0
hist_gradient_boosting,free_throw_pct,7,0.005744624935207095,0.002846561027051942,0.9666666666666667
hist_gradient_boosting,two_point,7,0.0018357550998734336,0.0011905185106674263,0.9333333333333333
hist_gradient_boosting,free_throw_rate,7,0.0018289413429041113,0.0034372715425263723,0.7666666666666667
hist_gradient_boosting,three_point,7,0.0014813049502816144,0.0012965538934251474,0.8666666666666667
hist_gradient_boosting,assist,7,0.00028933791287215994,0.0015556605620849122,0.6
hist_gradient_boosting,three_point_rate,4,-0.0006746596615665975,0.001305182695357117,0.26666666666666666
hist_gradient_boosting,turnover,7,-0.0007268111126232194,0.0015701275331801916,0.26666666666666666
random_forest,engineered_composites,15,0.03226073287560418,0.009888701381121487,1.0
random_forest,offensive_rebound,7,0.011984212560850187,0.0034263273259113867,1.0
random_forest,efg,7,0.00609890314359071,0.004972394540645674,0.9
random_forest,nonsteal_turnover,7,0.004833517581886168,0.002658214983240062,0.9666666666666667
random_forest,block,7,0.00416467867556034,0.0018222363563774322,1.0
random_forest,steal,7,0.00208519541454734,0.002172300994705513,0.8333333333333334
random_forest,two_point,7,0.0011829525595248192,0.001690479479159616,0.7333333333333333
random_forest,turnover,7,0.0007549360430583259,0.0014767197097793445,0.7333333333333333
random_forest,three_point,7,0.0006658425822606007,0.00047242008131124596,0.9666666666666667
random_forest,three_point_rate,4,0.00031868723276365916,0.0007151528869889574,0.6666666666666666
random_forest,assist,7,-7.91461083213892e-05,0.0010535144946770523,0.4666666666666667
random_forest,free_throw_pct,7,-0.00022655136196180202,0.0016882765706557835,0.4
random_forest,free_throw_rate,7,-0.0005685513243602484,0.0028309170490084016,0.5333333333333333
regularized_logistic,efg,7,0.08631294594643832,0.015776810155783885,1.0
regularized_logistic,engineered_composites,15,0.03136449226653467,0.00817832557346804,1.0
regularized_logistic,offensive_rebound,7,0.028880260021531663,0.005469428359057184,1.0
regularized_logistic,three_point,7,0.02404616843112242,0.007795776509325372,1.0
regularized_logistic,steal,7,0.02064442691060007,0.005582938972081284,1.0
regularized_logistic,nonsteal_turnover,7,0.01647693290401879,0.006472751216554889,1.0
regularized_logistic,free_throw_rate,7,0.012463296052403875,0.005712227566280892,0.9666666666666667
regularized_logistic,block,7,0.012237552192684624,0.004098570662767501,1.0
regularized_logistic,turnover,7,0.007118637860082137,0.005437225184795806,0.8333333333333334
regularized_logistic,two_point,7,0.005212759833066901,0.004971124593209235,0.8333333333333334
regularized_logistic,free_throw_pct,7,0.004538772060273555,0.0031048191059053465,0.9
regularized_logistic,three_point_rate,4,-0.0005166147827085244,0.0012267707135123983,0.26666666666666666
regularized_logistic,assist,7,-0.0012809656240489575,0.0014079272257100728,0.13333333333333333
