feature,family,importance_mean,importance_std,importance_low,importance_high,positive_fraction,positive_season_fraction,rank
offensive_rebound_off_strength_diff,offensive_rebound,0.009203829297896454,0.008854779628179694,-0.00817754501902351,0.023832971156147274,0.8333333333333334,1.0,1
four_factor_edge_std,engineered_composites,0.008289693074789939,0.010107165438096217,-0.013552082316206257,0.025749425888633146,0.8166666666666667,0.8333333333333334,2
block_def_strength_diff,block,0.007458423403813299,0.007199706075690601,-0.00628318099660799,0.022202123854111043,0.8583333333333333,1.0,3
efg_off_strength_diff,efg,0.007172072844550062,0.01199230226340835,-0.015863495022965756,0.026403080938904484,0.7166666666666667,0.8333333333333334,4
efg_net_matchup_edge,efg,0.00627925361879554,0.01025714232275813,-0.013360539424960058,0.025034804260827645,0.7416666666666667,0.8333333333333334,5
four_factor_edge_max,engineered_composites,0.006084098273721427,0.013706337744929506,-0.014303981733783878,0.03586266591212756,0.6416666666666667,0.8333333333333334,6
efg_overall_strength_diff,efg,0.005829155655440332,0.009196394832143991,-0.013469307389697737,0.02442126922030791,0.7666666666666667,0.6666666666666666,7
three_point_leverage_edge,engineered_composites,0.005797330412742137,0.010583872682169697,-0.012934275643978966,0.02622251734281536,0.6916666666666667,0.8333333333333334,8
nonsteal_turnover_net_weakness_vs_strength,nonsteal_turnover,0.0046715979036111265,0.008691558265140053,-0.010234070325292421,0.02677125363115418,0.7,0.8333333333333334,9
free_throw_rate_off_strength_diff,free_throw_rate,0.004594380047321419,0.007094474268755779,-0.007249054910856203,0.018739575009557023,0.725,1.0,10
offensive_rebound_net_strength_vs_strength,offensive_rebound,0.0042387845345109145,0.004628009289303524,-0.003654277599160513,0.013239637535269579,0.7916666666666666,1.0,11
free_throw_rate_net_strength_vs_weakness,free_throw_rate,0.004003815909220773,0.006322607412204737,-0.007760742270054322,0.01650757072093853,0.7333333333333333,0.8333333333333334,12
efg_net_strength_vs_weakness,efg,0.003912756345578646,0.009034242862962704,-0.014536147613466385,0.017958994747313117,0.6833333333333333,0.8333333333333334,13
offensive_rebound_def_strength_diff,offensive_rebound,0.0025241760081171367,0.004526251839788055,-0.0045639093065204805,0.01066979254324628,0.6666666666666666,0.6666666666666666,14
efg_net_weakness_vs_strength,efg,0.002311164424433256,0.008642265367135636,-0.015135530991952178,0.01585092078077686,0.6083333333333333,0.6666666666666666,15
block_net_weakness_vs_strength,block,0.0023082158522699263,0.004493433174223052,-0.006033422230800089,0.011147686279304937,0.6916666666666667,0.8333333333333334,16
block_net_strength_vs_strength,block,0.0021599509795697637,0.0035082249130184476,-0.003511324789083464,0.008369466625905098,0.7083333333333334,1.0,17
steal_def_strength_diff,steal,0.0021594593237250982,0.0046595394267989155,-0.006667742162376908,0.011176591016452233,0.6666666666666666,0.8333333333333334,18
two_point_net_weakness_vs_strength,two_point,0.0018159001641723867,0.008307315928852622,-0.01456014183418961,0.017845030702882778,0.5833333333333334,0.8333333333333334,19
three_point_off_strength_diff,three_point,0.001597046073724843,0.008804443205352024,-0.016985253265085286,0.018858574913735736,0.575,0.6666666666666666,20
free_throw_pct_net_strength_vs_strength,free_throw_pct,0.0015308727165582172,0.0033119729932705594,-0.005475365851219707,0.008215319023806188,0.6916666666666667,0.8333333333333334,21
offensive_rebound_net_matchup_edge,offensive_rebound,0.0015069456842026114,0.0037911366566405506,-0.005381764037905268,0.008584976863431926,0.6583333333333333,0.6666666666666666,22
steal_overall_strength_diff,steal,0.001391185249160462,0.005230118466088888,-0.0072662736575873355,0.011382630946441543,0.55,0.5,23
offensive_rebound_overall_strength_diff,offensive_rebound,0.0013289375519477602,0.0038434995420804554,-0.006464727142020771,0.008204400245413813,0.6666666666666666,0.6666666666666666,24
free_throw_rate_def_strength_diff,free_throw_rate,0.0013094775677855784,0.0056900749549720535,-0.009741966029045201,0.012381179060586407,0.6083333333333333,0.6666666666666666,25
block_off_strength_diff,block,0.0012436697354849156,0.005269736573392734,-0.007437621242799522,0.010680268205871887,0.5333333333333333,0.5,26
four_factor_edge_mean,engineered_composites,0.001088716891671835,0.0025431035374787656,-0.003554319405989881,0.005494489475025014,0.65,0.8333333333333334,27
two_point_net_strength_vs_weakness,two_point,0.001040734065570075,0.0021879531412650785,-0.0037161773174317126,0.004717887898928939,0.7,0.8333333333333334,28
steal_net_matchup_edge,steal,0.0010288348362758825,0.005585679562140666,-0.009450253164197916,0.011745986132062701,0.55,0.5,29
offensive_rebound_net_strength_vs_weakness,offensive_rebound,0.0008936461492378173,0.005962225548495328,-0.011533026653558135,0.011440540645350564,0.5916666666666667,0.6666666666666666,30
steal_net_strength_vs_weakness,steal,0.0008828108525924972,0.004288085532229206,-0.008500772980822035,0.007710199947021215,0.5833333333333334,0.6666666666666666,31
three_point_net_strength_vs_weakness,three_point,0.0008133411147577633,0.003464229916451462,-0.006389498875176644,0.006997379731557408,0.5916666666666667,0.5,32
steal_net_strength_vs_strength,steal,0.0008012036413089303,0.0013139180187647208,-0.0018925330085367176,0.0029332244133851064,0.75,0.8333333333333334,33
nonsteal_turnover_net_matchup_edge,nonsteal_turnover,0.000730134603116565,0.0031535867040560694,-0.004624405094409911,0.006067041203847284,0.5833333333333334,0.6666666666666666,34
free_throw_pct_off_strength_diff,free_throw_pct,0.0006371949086846259,0.0034797441385370008,-0.006054005942599164,0.006480121397118189,0.5583333333333333,0.5,35
shooting_pressure_edge,engineered_composites,0.0006065011182156632,0.0033222941468764276,-0.005183771011673835,0.006999157140668335,0.55,0.6666666666666666,36
nonsteal_turnover_net_strength_vs_strength,nonsteal_turnover,0.0005336989712659622,0.001544201554939605,-0.001931453890915738,0.0033377177276353357,0.625,0.8333333333333334,37
free_throw_rate_net_weakness_vs_strength,free_throw_rate,0.000528964584947981,0.002206038447349419,-0.003524406957024109,0.004970513752170906,0.55,0.6666666666666666,38
three_point_net_strength_vs_strength,three_point,0.0005245162811514279,0.005584345084582941,-0.01167163308634662,0.009334710928343952,0.5916666666666667,0.8333333333333334,39
turnover_net_weakness_vs_strength,turnover,0.0005122656263071984,0.0028940217413990035,-0.004427004644964713,0.006647055588539861,0.5833333333333334,0.6666666666666666,40
three_point_net_matchup_edge,three_point,0.0005056481929077983,0.004825322241114298,-0.008246360971506352,0.009919912169503114,0.5416666666666666,0.5,41
free_throw_rate_net_matchup_edge,free_throw_rate,0.0005013059374493182,0.0015354762416089152,-0.0021369756101968286,0.00328558008047012,0.6666666666666666,0.8333333333333334,42
three_point_overall_strength_diff,three_point,0.0004597259466705722,0.00479436771981833,-0.009762202652968196,0.0101915342249223,0.5083333333333333,0.6666666666666666,43
free_throw_pct_def_strength_diff,free_throw_pct,0.0004402628808117648,0.0013755379156566423,-0.00208018922707818,0.0032684067098339956,0.6333333333333333,0.6666666666666666,44
