feature,family,importance_mean,importance_std,importance_low,importance_high,positive_fraction,positive_season_fraction,rank
efg_opponent_adjusted_matchup_edge,efg,0.0069580829662851795,0.012582001019391576,-0.01807739930603017,0.029673160530721544,0.7166666666666667,0.8333333333333334,1
two_point_opponent_adjusted_matchup_edge,two_point,0.00530127770218704,0.009946283286050997,-0.01230641093514682,0.021445787729893587,0.6833333333333333,0.8333333333333334,2
offensive_rebound_opponent_adjusted_matchup_edge,offensive_rebound,0.005168070057029016,0.01637805519054012,-0.02481357368902812,0.04034294743895904,0.6166666666666667,0.6666666666666666,3
nonsteal_turnover_net_weakness_vs_strength,nonsteal_turnover,0.0032575804545874275,0.0067309800257285505,-0.008041151362306459,0.016086285322039102,0.6583333333333333,1.0,4
offensive_rebound_net_strength_vs_strength,offensive_rebound,0.0029890801204562325,0.0042688964364977185,-0.0046711178171389475,0.012334464363275512,0.7666666666666667,1.0,5
free_throw_rate_net_strength_vs_weakness,free_throw_rate,0.002839346778523001,0.00316102604916351,-0.002441189881585276,0.009114460919904727,0.8083333333333333,1.0,6
block_opponent_adjusted_matchup_edge,block,0.0022467552825361733,0.004514490701059467,-0.00523913374924416,0.012275248221307279,0.6666666666666666,1.0,7
free_throw_pct_net_strength_vs_strength,free_throw_pct,0.002190014545277566,0.0051305299312921545,-0.009374599425790633,0.012346919633438468,0.7083333333333334,0.6666666666666666,8
turnover_opponent_adjusted_matchup_edge,turnover,0.002108279923220974,0.007219872510937931,-0.011711666828392716,0.014025380884680446,0.6416666666666667,0.6666666666666666,9
offensive_rebound_recent_form_edge,offensive_rebound,0.0018621059306793161,0.006621942214652077,-0.011414292686487222,0.012709201098991693,0.6333333333333333,0.8333333333333334,10
three_point_recent_form_edge,three_point,0.0018599969697132661,0.005905396424531582,-0.008504751231285995,0.012334905488948587,0.5916666666666667,0.5,11
three_point_opponent_adjusted_matchup_edge,three_point,0.0018171377748879476,0.0030396400017530106,-0.0038976963975747405,0.007265674345399045,0.75,0.6666666666666666,12
efg_net_matchup_edge,efg,0.0015681877979290835,0.007875213193665383,-0.015291708717181671,0.01568096640189023,0.5833333333333334,0.5,13
nonsteal_turnover_opponent_adjusted_matchup_edge,nonsteal_turnover,0.00143787710834866,0.004278560709284932,-0.006540055578394455,0.00927681925523844,0.6416666666666667,0.6666666666666666,14
recent_form_four_factor_edge,engineered_composites,0.0013541647204826487,0.003916769193053444,-0.0052857912050087354,0.009307393809683914,0.575,0.3333333333333333,15
efg_net_strength_vs_strength,efg,0.00104705199010011,0.003577137186083437,-0.004437771364182714,0.008507156381549669,0.55,0.3333333333333333,16
three_point_leverage_edge,engineered_composites,0.0009171863526483387,0.003068502147626246,-0.005375057467800396,0.006497765628491042,0.6333333333333333,0.8333333333333334,17
two_point_net_strength_vs_strength,two_point,0.0008845311083216022,0.0042262707573849775,-0.00687929860797136,0.008135752601170238,0.5333333333333333,0.5,18
free_throw_rate_net_strength_vs_strength,free_throw_rate,0.0007783952997606249,0.0063467663184077735,-0.011222659189274245,0.01311026565066241,0.5083333333333333,0.5,19
efg_net_strength_vs_weakness,efg,0.0007077707743396157,0.007329339104154419,-0.018678561699017583,0.012267227387831307,0.5666666666666667,0.6666666666666666,20
efg_net_weakness_vs_strength,efg,0.0007015251171921459,0.006745585714660085,-0.010927733313249963,0.012260246489854057,0.525,0.6666666666666666,21
three_point_rate_environment,three_point_rate,0.0006680582030846528,0.001774714626716166,-0.0029075778039614445,0.003924458018697893,0.65,0.8333333333333334,22
four_factor_edge_std,engineered_composites,0.0006552163880634454,0.0009756738212148299,-0.0014288919066301308,0.002209381325717238,0.7666666666666667,0.8333333333333334,23
turnover_recent_form_edge,turnover,0.0006454444886676328,0.003407094567343576,-0.004390793920632394,0.007909407241974592,0.55,0.5,24
block_net_strength_vs_strength,block,0.0005866798095149617,0.0026290045195544245,-0.005387013720957743,0.005687101918251594,0.6083333333333333,0.6666666666666666,25
four_factor_edge_min,engineered_composites,0.0005795491352567073,0.0022366683128490256,-0.003756289725568268,0.0050637460978900355,0.5833333333333334,0.8333333333333334,26
steal_net_matchup_edge,steal,0.000574874431775535,0.003909208474126623,-0.006643266913193374,0.00786251595493922,0.5416666666666666,0.5,27
four_factor_volatility_edge,engineered_composites,0.0005417035638336093,0.0020697204595676354,-0.0029167064342103034,0.005043909722501713,0.5916666666666667,0.5,28
free_throw_rate_net_matchup_edge,free_throw_rate,0.0005131857252700091,0.0018146262578928242,-0.0031448558051516058,0.003951081910436775,0.5916666666666667,0.6666666666666666,29
three_point_rate_raw_environment,three_point_rate,0.0005116575102572426,0.00410003297434866,-0.005820870140995036,0.008863802269460486,0.5333333333333333,0.5,30
steal_opponent_adjusted_matchup_edge,steal,0.0004755363783302565,0.0066458863245466805,-0.012800469055743863,0.010564843251907548,0.625,0.5,31
perimeter_edge,engineered_composites,0.00046920995803905277,0.003146365711432748,-0.0049192955043074835,0.00617675050552167,0.5666666666666667,0.5,32
efg_recent_form_edge,efg,0.00030428671228709586,0.0061219433490499915,-0.009342200034755818,0.014332615731878271,0.4666666666666667,0.3333333333333333,33
offensive_rebound_raw_matchup_edge,offensive_rebound,0.00028592352510444787,0.008667831560801083,-0.016066964289236506,0.014924124365056505,0.5166666666666667,0.6666666666666666,34
free_throw_pct_raw_matchup_edge,free_throw_pct,0.00027821351466907247,0.004415007252236325,-0.007963765007318097,0.00800084644487279,0.55,0.5,35
turnover_net_strength_vs_weakness,turnover,0.00026013060813510626,0.002694935313322095,-0.004787142930936688,0.005777042365099041,0.49166666666666664,0.5,36
offensive_rebound_net_weakness_vs_strength,offensive_rebound,0.0002564590933494269,0.001619711832115237,-0.0030254132606263332,0.002881375907646884,0.575,0.6666666666666666,37
two_point_raw_matchup_edge,two_point,0.00021600528445318474,0.0007879001246199138,-0.001344867417799292,0.0019077052278283545,0.6,0.6666666666666666,38
nonsteal_turnover_net_strength_vs_weakness,nonsteal_turnover,0.00020256328498192513,0.0012363591255994653,-0.0015682554068091796,0.003187594157631863,0.5083333333333333,0.3333333333333333,39
turnover_raw_matchup_edge,turnover,0.00019508413786263428,0.001943780124862006,-0.003469810238906354,0.0034398425536714475,0.6,0.6666666666666666,40
