season,team_a,team_b,team_a_id,team_b_id,actual_team_a_win,actual_winner,actual_loser,winner_seed,loser_seed,actual_upset,regular_season_power_gap,team_a_power_rating,team_b_power_rating,factor_only_probability,power_baseline_probability,combined_probability,matchup_adjustment_probability_points,combined_prediction_correct,kenpom_netrtg_a,kenpom_netrtg_b,kenpom_netrtg_gap,kenpom_team_a_probability,model_team_a_probability,model_actual_winner_probability,kenpom_actual_winner_probability,actual_winner_probability_gap_pp,model_correct,kenpom_correct,model_predicted_winner,kenpom_predicted_winner,comparison_category
2021,Texas,Abilene Chr,1400,1101,0,Abilene Chr,Texas,14.0,3.0,True,-2.9872558278088803,6.28953378581825,9.27678961362713,0.5984353273056139,0.3454465703678361,0.3768175356828547,3.1370965315018595,True,20.31,10.11,10.2,0.8330981601444247,0.3768175356828547,0.6231824643171453,0.16690183985557527,45.628062446157,True,False,Abilene Chr,Texas,model_only_correct
2021,Purdue,North Texas,1345,1317,0,North Texas,Purdue,13.0,4.0,True,-1.217754182564022,5.4261391414108715,6.643893323974893,0.4680298620045872,0.4281351459947333,0.4358471724158986,0.7712026421165363,True,20.33,11.76,8.569999999999999,0.7933286968388253,0.4358471724158986,0.5641528275841015,0.20667130316117466,35.74815244229268,True,False,North Texas,Purdue,model_only_correct
2019,UC Irvine,Kansas St,1414,1243,1,UC Irvine,Kansas St,13.0,4.0,True,-0.3057880418634653,7.345936757255956,7.651724799119421,0.3756542835679527,0.4727120534803042,0.4646732922445135,-0.8038761235790781,False,9.16,20.06,-10.899999999999999,0.1428225689837958,0.4646732922445135,0.4646732922445135,0.1428225689837958,32.18507232607177,False,False,Kansas St,Kansas St,both_incorrect
2019,Liberty,Mississippi St,1251,1280,1,Liberty,Mississippi St,12.0,5.0,True,-0.6840735660538542,7.5553356755311825,8.239409241585037,0.5743537584747282,0.4541270813732239,0.4672775910015456,1.315050962832176,False,11.54,20.04,-8.5,0.1969707075394014,0.4672775910015456,0.4672775910015456,0.1969707075394014,27.030688346214415,False,False,Mississippi St,Mississippi St,both_incorrect
2023,Furman,Virginia,1202,1438,1,Furman,Virginia,13.0,4.0,True,-0.9481900156714717,6.732375219893768,7.68056523556524,0.4248982318452323,0.4412234501008286,0.4429404620527759,0.1717011951947289,False,8.01,16.37,-8.360000000000001,0.20056315754026136,0.4429404620527759,0.4429404620527759,0.20056315754026136,24.23773045125145,False,False,Virginia,Virginia,both_incorrect
2021,Ohio,Virginia,1325,1438,1,Ohio,Virginia,13.0,4.0,True,-2.367648206857652,5.245516312669892,7.613164519527544,0.4022232432784515,0.3736285385176968,0.3840261147056369,1.0397576187940127,False,10.47,21.42,-10.950000000000001,0.14183910913590647,0.3840261147056369,0.3840261147056369,0.14183910913590647,24.218700556973044,False,False,Virginia,Virginia,both_incorrect
2021,Loyola-Chicago,Illinois,1260,1228,1,Loyola-Chicago,Illinois,8.0,1.0,True,0.680733358667112,12.334168782767051,11.65343542409994,0.6448966015910804,0.521405687303165,0.5303491442528966,0.8943456949731532,True,24.32,29.06,-4.739999999999998,0.31013306962216136,0.5303491442528966,0.5303491442528966,0.31013306962216136,22.021607463073522,True,False,Loyola-Chicago,Illinois,model_only_correct
2021,Drake,Wichita St,1179,1455,1,Drake,Wichita St,11.0,11.0,False,6.477988775270447,8.53047777871484,2.052489003444393,0.9195272478003332,0.7740295765731873,0.776751040328816,0.2721463755628761,True,14.27,12.3,1.9699999999999989,0.5699549566429126,0.776751040328816,0.776751040328816,0.5699549566429126,20.67960836859034,True,True,Drake,Drake,both_correct
2021,Oral Roberts,Florida,1331,1196,1,Oral Roberts,Florida,15.0,7.0,True,-3.6217856380833098,1.3214641399563618,4.943249778039672,0.2759460025405632,0.3176705918555553,0.3248975439461558,0.7226952090600425,False,4.83,16.95,-12.12,0.1204032285656599,0.3248975439461558,0.3248975439461558,0.1204032285656599,20.449431538049588,False,False,Florida,Florida,both_incorrect
2021,Ohio St,Oral Roberts,1326,1331,0,Oral Roberts,Ohio St,15.0,2.0,True,5.917955264499952,7.239419404456314,1.3214641399563618,0.8674005696288913,0.75408960928052,0.7509626514804607,-0.3126957800059338,False,23.58,4.83,18.75,0.9519094681565794,0.7509626514804607,0.2490373485195393,0.0480905318434206,20.09468166761187,False,False,Ohio St,Ohio St,both_incorrect
2019,Murray St,Marquette,1293,1266,1,Murray St,Marquette,12.0,5.0,True,1.7533930012417187,9.931033234723529,8.17764023348181,0.6737399945359623,0.5738633910028591,0.5770313387176909,0.3167947714831753,True,13.83,16.52,-2.6899999999999995,0.38480888735908314,0.5770313387176909,0.5770313387176909,0.38480888735908314,19.22224513586077,True,False,Murray St,Marquette,model_only_correct
2022,San Francisco,Murray St,1362,1293,0,Murray St,San Francisco,7.0,10.0,False,-2.3561055182416055,9.118457531157134,11.47456304939874,0.395093838007758,0.3741624734605859,0.3838415929160426,0.9679119455456686,True,17.38,15.42,1.959999999999999,0.5695599788705717,0.3838415929160426,0.6161584070839574,0.43044002112942825,18.571838595452917,True,False,Murray St,San Francisco,model_only_correct
2023,Missouri,Princeton,1281,1343,0,Princeton,Missouri,15.0,7.0,True,0.1091996133338142,4.919989084162879,4.810789470829064,0.5746506458486699,0.4931856023469157,0.5000631652865005,0.6877562939584803,False,13.07,8.04,5.030000000000001,0.6845404183529782,0.5000631652865005,0.4999368347134995,0.3154595816470218,18.447725306647765,False,False,Missouri,Missouri,both_incorrect
2017,MTSU,Minnesota,1292,1278,1,MTSU,Minnesota,12.0,5.0,True,3.1454334707751173,9.782286700926704,6.636853230151587,0.6496767762816998,0.6393852510575634,0.6297488372903224,-0.9636413767241004,True,14.95,16.0,-1.0500000000000007,0.44894424883302636,0.6297488372903224,0.6297488372903224,0.44894424883302636,18.080458845729602,True,False,MTSU,Minnesota,model_only_correct
2018,Loyola-Chicago,Tennessee,1260,1397,1,Loyola-Chicago,Tennessee,11.0,3.0,True,-0.9777373718494432,8.420273592214102,9.398010964063545,0.4054135077874414,0.4397844875374612,0.4399456559177417,0.0161168380280463,False,16.39,22.27,-5.879999999999999,0.2722607702187987,0.4399456559177417,0.4399456559177417,0.2722607702187987,16.768488569894302,False,False,Tennessee,Tennessee,both_incorrect
